,Name,Month,Average_Monthly_Players,Monthly_Gain_Loss,Monthly_Gain_Loss_percentage,Max_Players_per_Day
0,v rising,"June 30, 2022","57,411","-38,209",-40,"146,500"
1,v rising,"May 30, 2022","95,620","95,620",0,"152,330"
2,forza horizon 5,"June 30, 2022","23,650,588","1,000,547",4,"7,095,176"
3,forza horizon 5,"May 30, 2022","22,650,041","2,961,537",15,"6,795,012"
4,forza horizon 5,"April 30, 2022","19,688,504","983,063",5,"5,906,551"
5,forza horizon 5,"March 30, 2022","18,705,441","3,072,236",20,"4,364,603"
6,forza horizon 5,"February 20, 2022","15,633,205","963,405",0,"3,647,748"
7,forza horizon 5,"January 30, 2022","14,669,800","1,163,916",0,"3,422,953"
8,forza horizon 5,"December 30, 2021","13,505,884","13,505,884",0,"3,151,373"
9,payday 2,"June 30, 2022","9,850,145","-206,395",-2,"1,313,353"
10,payday 2,"May 30, 2022","10,056,540","110,497",1,"1,340,872"
11,payday 2,"April 30, 2022","9,946,043","-307,610",-3,"1,326,139"
12,payday 2,"March 30, 2022","10,253,653","-862,009",-7,"1,367,154"
13,payday 2,"February 28, 2022","11,115,662","645,316",6,"1,482,088"
14,payday 2,"January 30, 2022","10,470,346","-976,826",-8,"1,396,046"
15,payday 2,"December 30, 2021","11,447,172","752,762",7,"1,526,290"
16,payday 2,November 30 2021,"10,694,410","412,293",4,"1,425,921"
17,payday 2,"October 30, 2021","10,282,117","300,438",3,"1,370,949"
18,payday 2,"September 30, 2021","9,981,679","-96,871",0,"1,330,891"
19,payday 2,"August 30, 2021","10,078,550","388,550",4,"1,343,807"
20,payday 2,"July 30, 2021","9,690,000","-783,750",-7,"1,292,000"
21,payday 2,"June 30, 2021","10,473,750","1,471,312",16,"1,396,500"
22,payday 2,"May 30, 2021","9,002,438","-285,235",-3,"1,200,325"
23,payday 2,"April 30, 2021","9,287,673","-282,382",-2,"1,238,356"
24,payday 2,"March 30, 2021","9,570,055","469,975",5,"1,276,007"
25,payday 2,"February 28, 2021","9,100,080","363,074",4,"1,213,344"
26,payday 2,"January 30, 2021","8,737,006","262,110",3,"1,164,934"
27,payday 2,"December 30, 2020","8,474,896","-615,085",-6,"1,129,986"
28,payday 2,"November 30, 2020","9,089,981","-364,490",-3,"1,211,997"
29,payday 2,"October 30, 2020","9,454,471","-665,485",-6,"1,260,596"
30,payday 2,"September 30, 2020","10,119,956","-505,998",-4,"1,349,327"
31,payday 2,"August 30, 2020","10,625,954","-531,297",-4,"1,416,794"
32,payday 2,"July 30, 2020","11,157,251","-557,863",-4,"1,487,633"
33,payday 2,"June 30, 2020","11,715,114","1,645,695",16,"1,562,015"
34,payday 2,"May 30, 2020","10,069,419","1,003,978",11,"1,342,589"
35,payday 2,"April 30, 2020","9,065,441","-1,478,580",-14,"1,208,725"
36,payday 2,"March 30, 2020","10,544,021","1,038,481",10,"1,405,869"
37,payday 2,"February 20, 2020","9,505,540","-1,695,674",-15,"1,267,405"
38,payday 2,"January 30, 2020","11,201,214","-119,340",-1,"1,493,495"
39,payday 2,"December 30, 2019","11,320,554","-202,996",-1,"1,509,407"
40,payday 2,"November 30, 2019","11,523,550","11,523,550",0,"1,536,473"
41,elden ring,"June 30, 2022","3,014,445","-180,588",-6,"904,334"
42,elden ring,"May 30, 2022","3,195,033","-7,091",0,"958,510"
43,elden ring,"April 30, 2022","3,202,124","300,884",10,"960,637"
44,elden ring,"March 30, 2022","2,901,240","397,889",16,"676,956"
45,elden ring,"February 28, 2022","2,503,351","2,503,351",0,"584,115"
46,lost ark,"June 30, 2022","720,114","-10,097",-1,"1,440,228"
47,lost ark,"May 30, 2022","730,211","79,321",12,"1,460,422"
48,lost ark,"April 30, 2022","650,890","-99,666",-13,"1,301,780"
49,lost ark,"March 30, 2022","750,556","49,006",7,"1,501,112"
50,lost ark,"February 28, 20222","701,550","290,184",71,"1,403,100"
51,lost ark,"January 30, 2022","411,366","5,779",1,"822,732"
52,lost ark,"December 30, 2021","405,587","34,757",9,"811,174"
53,lost ark,November 30 2021,"370,830","-89,442",-19,"741,660"
54,lost ark,"October 30, 2021","460,272","-7,884",-2,"920,544"
55,lost ark,"September 30, 2021","468,156","83,251",22,"936,312"
56,lost ark,"August 30, 2021","384,905","-63,076",-14,"769,810"
57,lost ark,"July 30, 2021","447,981","-5,087",-1,"895,962"
58,lost ark,"June 30, 2021","453,068","70,541",18,"906,136"
